FIPS,YPLL
27143,5257
27141,4519
27139,4014
27137,6969
27135,6269
27133,5807
27131,4768
27129,6298
27127,6785
27125,
27123,5977
27121,5503
27119,6794
27117,7401
27115,7632
27113,6151
27111,5699
27109,4420
27107,8712
27105,4882
27103,3562
27101,5016
27099,5612
27097,5787
27095,8965
27093,5103
27091,5829
27089,6907
27087,18047
27085,4406
27083,4342
27081,
27079,4554
27077,
27075,7514
27073,4802
27071,7400
27069,
27067,5688
27065,7618
27063,4833
27061,6294
27059,6609
27057,6500
27055,4475
27053,5091
27051,8482
27049,5377
27047,6754
27045,5635
27043,7799
27041,5698
27039,5116
27037,4288
27035,6002
27033,5007
27031,
27029,8072
27027,5389
27025,4893
27023,5340
27021,10443
27019,3593
27017,6375
27015,5543
27013,5371
27011,
27009,5952
27007,8714
27005,6589
27003,5129
27001,10288
27000,5279
26165,7584
26163,10587
26161,5155
26159,7781
26157,7597
26155,7269
26153,5627
26151,7805
26149,8115
26147,8208
26145,8880
26143,10353
26141,9050
26139,4600
26137,8585
26135,11248
26133,7847
26131,9237
26129,9994
26127,7446
26125,5874
26123,7126
26121,8557
26119,10297
26117,7647
26115,8231
26113,6190
26111,5664
26109,5758
26107,6056
26105,7346
26103,6543
26101,8340
26099,7698
26097,9530
26095,
26093,5202
26091,6870
26089,4657
26087,6516
26085,7965
26083,
26081,5784
26079,8161
26077,6792
26075,8496
26073,6660
26071,9999
26069,10248
26067,6015
26065,7206
26063,8589
26061,6869
26059,8107
26057,6604
26055,5895
26053,7444
26051,8458
26049,10379
26047,5953
26045,6382
26043,7502
26041,7382
26039,11390
26037,4613
26035,10043
26033,6398
26031,7143
26029,6382
26027,7669
26025,9414
26023,8566
26021,8081
26019,6655
26017,7743
26015,6022
26013,10471
26011,8499
26009,6080
26007,7179
26005,6181
26003,5457
26001,9814
26000,7626
25027,6481
25025,5646
25023,6455
25021,4740
25019,4173
25017,4384
25015,5480
25013,7419
25011,6315
25009,5996
25007,4820
25005,7290
25003,7541
25001,7303
25000,5706
24510,13652
24047,8846
24045,9179
24043,8547
24041,6533
24039,9953
24037,6761
24035,7136
24033,6864
24031,4105
24029,6888
24027,4160
24025,6834
24023,6884
24021,6002
24019,9920
24017,7351
24015,9241
24013,6692
24011,9122
24009,7017
24005,8091
24003,6809
24001,9202
24000,7211
23031,7167
23029,9684
23027,6519
23025,9068
23023,6571
23021,8743
23019,7774
23017,7699
23015,7081
23013,6809
23011,7288
23009,6156
23007,7014
23005,5626
23003,7925
23001,7293
23000,7010
22127,11545
22125,8675
22123,10912
22121,8587
22119,11660
22117,13484
22115,9195
22113,8480
22111,10166
22109,9721
22107,12381
22105,10665
22103,6977
22101,9744
22099,9841
22097,12667
22095,10642
22093,9974
22091,12394
22089,7419
22087,11365
22085,9348
22083,10287
22081,12992
22079,10883
22077,10915
22075,7542
22073,10098
22071,10078
22069,11468
22067,13712
22065,12805
22063,9132
22061,7495
22059,9323
22057,8413
22055,7234
22053,10886
22051,8901
22049,9036
22047,10157
22045,10383
22043,8679
22041,10656
22039,11220
22037,10914
22035,12206
22033,9984
22031,9012
22029,12780
22027,9862
22025,10576
22023,7133
22021,11205
22019,9983
22017,10847
22015,7404
22013,11198
22011,10539
22009,11512
22007,8969
22005,6933
22003,9683
22001,9742
22000,9535
21239,7148
21237,14059
21235,15063
21233,10378
21231,10223
21229,10155
21227,7774
21225,10274
21223,11419
21221,8002
21219,10367
21217,8668
21215,7725
21213,10263
21211,7429
21209,7843
21207,11990
21205,10156
21203,12343
21201,
21199,11295
21197,15859
21195,11917
21193,16131
21191,10540
21189,19033
21187,9584
21185,5594
21183,9823
21181,10975
21179,9308
21177,9719
21175,10303
21173,9577
21171,12131
21169,10348
21167,9989
21165,12853
21163,8595
21161,10719
21159,12927
21157,10003
21155,9327
21153,12154
21151,8839
21149,11447
21147,13013
21145,8646
21143,8563
21141,9107
21139,11396
21137,11302
21135,14194
21133,13612
21131,12968
21129,15123
21127,11901
21125,10370
21123,7735
21121,12635
21119,14323
21117,9675
21115,12366
21113,8622
21111,9909
21109,11765
21107,10402
21105,7990
21103,8932
21101,9445
21099,9405
21097,10751
21095,14336
21093,8104
21091,8007
21089,9398
