County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Percentile_ranks_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Percentile_ranks_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Percentile_ranks_Covid,Proportional_allocation_to_SVI,SVI,Percentile_ranks_SVI,Proportional_allocation_to_YPLL,YPLL,Percentile_ranks_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Percentile_ranks_Unemployment,Proportional_allocation_to_Unemployment_capita,Unemployment_capita,Percentile_ranks_Unemployment_capita,Proportional_allocation_to_Covid_capita,Covid_capita,Percentile_ranks_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Percentile_ranks_Covid_death_capita
48491,629.7046010056271,48032.23728920183,93.7007874015748,116.42769188553638,8133.461341899654,5.905511811023622,1096.0962534258658,3679.0,96.06299212598425,202.42021877795688,0.003463733403756862,36.61417322834646,121.35110057390567,4458.0,1.5748031496062993,943.1669406935445,18240,95.2755905511811,170.27419382225477,5.7,17.322834645669293,164.19748791633802,622.9775243797742,60.62992125984252,63.01514602131805,61.97601900597916,2.7559055118110236
49001,8.30117616463447,633.1922343944033,20.689655172413794,119.07220347928985,9436.545967129707,27.586206896551722,18.128701840655626,59.0,43.10344827586207,144.1406574706307,0.032450669739673255,44.827586206896555,157.11179020093692,7508.0,58.62068965517241,7.084602176602445,103,17.24137931034483,115.87406653287448,3.6,32.758620689655174,343.7014280200301,879.2846497764531,100.0,148.19047577172634,59.61251862891207,62.06896551724138
49009,0.3686377573110702,28.118734093172513,3.4482758620689653,37.34818404491506,2959.866746649738,3.4482758620689653,0.30726613289246824,1.0,3.4482758620689653,220.05451487981438,0.04954130578004241,96.55172413793103,177.87535540617793,8500.241558457017,70.6896551724138,1.7195636350976806,25,3.4482758620689653,199.5608923621727,6.2,84.48275862068965,41.14605855511868,105.26315789473684,3.4482758620689653,0.0,0.0,6.896551724137931
49023,18.14516960986712,1384.0665781417138,34.48275862068966,145.3309964152867,11517.571591426427,48.275862068965516,15.97783891040835,52.0,37.93103448275862,132.9313343740123,0.029927092782299027,27.586206896551722,161.02493681356012,7695.0,62.06896551724138,9.491991265739198,138,20.689655172413794,77.24937768858298,2.4,3.4482758620689653,169.14498565555985,432.7203128900724,55.172413793103445,206.8648773463185,83.21544478655238,82.75862068965517
49035,1539.7862590380694,117450.91087258555,100.0,127.71213121871997,10121.26559844141,34.48275862068966,1618.3707219446303,5267.0,100.0,193.02654083049646,0.043456444818550106,89.65517241379311,133.46550318348102,6378.0,34.48275862068966,1863.1815899010392,27088,100.0,135.18641095502022,4.2,55.172413793103445,177.41633185542995,453.88073630882155,75.86206896551724,153.16773682807056,61.6147192824772,68.96551724137932
49049,829.2165019455754,63250.488756101455,96.55172413793103,125.44219942576991,9941.372096175384,31.03448275862069,1009.9837788175431,3287.0,96.55172413793103,150.53678007291492,0.03389064140223817,51.724137931034484,107.26625420484851,5126.0,20.689655172413794,721.3225536507751,10487,96.55172413793103,106.21789432180158,3.3,24.137931034482758,201.94541285396332,516.6330051003167,86.20689655172414,118.38805708809244,47.62391254803649,48.275862068965516
49053,292.4799273006572,22309.611916442278,86.20689655172414,158.54552693644942,12564.83133008306,65.51724137931035,239.66758365612523,780.0,86.20689655172414,157.03357261486286,0.035353277086336406,58.62068965517241,129.00828271027916,6165.0,27.586206896551722,234.47969728191973,3409,86.20689655172414,138.40513502537783,4.3,62.06896551724138,171.71613118871196,439.2980242852959,62.06896551724138,238.01064975670806,95.744441190385,89.65517241379311
51013,199.52035120858704,15218.896031522088,84.21052631578948,41.31153345869485,6425.758958091085,1.5037593984962405,402.289652725458,885.0,91.72932330827068,215.9246524756601,0.0109964638615026,93.98496240601504,48.26245294879737,2789.0,0.7518796992481203,579.8879554948428,5686,93.98496240601504,123.90591051149576,3.8,30.827067669172934,106.65358379634446,373.6668327408146,25.56390977443609,117.41260354318256,88.24448366421495,51.12781954887218
51021,17.59135100906812,1341.8227285553046,6.7669172932330826,137.36699120863898,21366.603957887015,44.3609022556391,2.7273874761048,6.0,1.8796992481203008,147.3937984743299,0.007506371133399277,61.65413533834587,122.5336784978251,7081.0,30.827067669172934,10.810433218862704,106,4.511278195488722,127.16659236706144,3.9,36.46616541353384,27.269834927662544,95.54140127388536,1.5037593984962405,190.6821401848124,143.312101910828,74.43609022556392
51025,78.04306904360482,5952.92333118349,51.12781954887218,235.79353703049165,36676.25735434348,90.22556390977444,30.910391395854397,68.0,28.571428571428573,192.73618440222918,0.009815537328800025,86.46616541353383,186.62981536492637,10785.0,84.9624060150376,37.32659017079009,366,37.59398496240601,208.6836387562034,6.4,90.97744360902256,119.57889540086883,418.95138931673955,36.8421052631579,81.97508473912212,61.61049842893229,33.08270676691729
51059,1623.2127273620551,123814.46596863914,100.0,69.36708896064705,10789.630787519576,9.774436090225564,1826.895044410865,4019.0,100.0,197.08013015464596,0.010036762843974412,89.47368421052632,60.72174521238077,3509.0,2.255639097744361,2786.9500808666144,27327,100.0,143.47000164488983,4.4,58.27067669172932,99.96410994587394,350.2298846568113,23.30827067669173,95.77284624140945,71.98056350498287,41.35338345864662
